name,price,year,mileage,engine,date_listed,day_listed,month_listed,year_listed,days_since_listed,link
 ,£1795,2012,88000,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955545?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3495,2016,113345,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955543?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£10772,2021,28977,1.2,06/05/2025,06,5,2025,24,https://www.autotrader.co.uk/car-details/202505062074530?journey=FEATURED_LISTING_JOURNEY&sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4950,Brand New,63914,1.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955532?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2495,2015,59987,1.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955530?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6000,2013,87000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955522?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6699,2014,143000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955518?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1995,2009,163000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955517?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3493,2015,100000,1.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955508?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4790,2015,128762,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955507?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3890,2015,76900,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955504?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1795,2010,108000,1.7,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955503?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2899,2011,80000,1.25,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955501?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3490,2015,83500,1.25,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955475?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£24000,2024,2100,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955472?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3300,2012,83000,1.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955471?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1495,2007,110000,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955469?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£12950,2019,31500,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955467?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3995,2012,103713,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955464?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1495,2005,139057,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955461?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6750,2018,109850,1.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955456?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6999,2015,120229,2.1,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955452?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
